target,predictor,risk_level,reason
energia_kwh,e1_kwh,Alto,Correlacion extrema con target (r=0.999) | Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,e2_kwh,Alto,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,anio,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,clientes_facturados,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,comuna,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,mes,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,region,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,tarifa,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
energia_kwh,tipo_clientes,Bajo,Existe relacion estructural energia_kwh = e1_kwh + e2_kwh
